player_id,player,squad,comp,nation_code,league_nation,position,position_role,age,min,ninety_mins_played,goals,assists,xg,xag,passes_completed,pass_completion_pct,passes_completed_per90,pabr,take_ons_attempted,take_ons_successful,take_ons_per90,shots,shots_on_target,shots_per90,tackles,tackles_per90,interceptions,interceptions_per90,aerials_won,aerials_won_per90,progressive_carries,progressive_carries_per90,touches_att_third_per90,xt_carry,sprint_count_proxy,accel_count_proxy,ddi_proxy,market_value_m,market_value_source,is_foreign
zakaria-aboukhlal-toulouse,Zakaria Aboukhlal,Toulouse,Ligue 1,MAR,FRA,"MF,FW",AM,24.0,1181,13.1,5,2,7.5,1.3,147,61.8,11.221374045801527,0.618,28,9,0.6870229007633588,40,18,3.053435114503817,12,0.916030534351145,6,0.4580152671755725,17,1.297709923664122,24,1.83206106870229,18.549618320610687,3.129770992366412,2.04,19.47,123.36,45.12,imputed,1
zuriko-davitashvili-saint-étienne,Zuriko Davitashvili,Saint-Étienne,Ligue 1,GEO,FRA,"MF,FW",AM,23.0,1276,14.2,5,2,3.6,1.7,316,79.2,22.253521126760564,0.792,51,21,1.4788732394366197,30,12,2.1126760563380285,10,0.7042253521126761,9,0.6338028169014085,8,0.5633802816901409,40,2.8169014084507045,17.3943661971831,2.6056338028169015,3.26,18.8,84.79,37.97,imputed,1
éderson-atalanta,Éderson,Atalanta,Serie A,BRA,ITA,MF,AM,25.0,1420,15.8,2,1,2.1,1.6,826,86.9,52.278481012658226,0.8690000000000001,24,10,0.6329113924050632,17,8,1.0759493670886076,19,1.2025316455696202,20,1.2658227848101264,21,1.3291139240506329,18,1.1392405063291138,17.088607594936708,1.2974683544303796,1.33,17.66,46.84,38.39,imputed,1
óscar-mingueza-celta-vigo,Óscar Mingueza,Celta Vigo,La Liga,ESP,ESP,"MF,DF",AM,25.0,1364,15.2,2,5,0.7,4.3,781,75.8,51.381578947368425,0.758,34,15,0.986842105263158,15,4,0.986842105263158,20,1.3157894736842106,9,0.5921052631578948,6,0.39473684210526316,41,2.697368421052632,23.486842105263158,1.973684210526316,2.99,24.84,58.55,49.94,imputed,0
abdel-abqar-alavés,Abdel Abqar,Alavés,La Liga,MAR,ESP,DF,CB,25.0,1398,15.5,0,1,0.4,0.2,382,72.5,24.64516129032258,0.725,2,1,0.06451612903225806,5,1,0.3225806451612903,23,1.4838709677419355,24,1.5483870967741935,19,1.2258064516129032,11,0.7096774193548387,2.3225806451612905,0.5967741935483871,0.73,2.68,18.65,17.4,imputed,1
abdukodir-khusanov-lens,Abdukodir Khusanov,Lens,Ligue 1,UZB,FRA,DF,CB,20.0,975,10.8,0,0,0.2,0.3,483,88.1,44.72222222222222,0.8809999999999999,1,1,0.09259259259259259,6,4,0.5555555555555555,15,1.3888888888888888,26,2.4074074074074074,27,2.5,2,0.18518518518518517,3.148148148148148,0.32407407407407407,0.21,3.24,10.56,10.67,imputed,1
abdul-mumin-rayo-vallecano,Abdul Mumin,Rayo Vallecano,La Liga,GHA,ESP,DF,CB,26.0,1353,15.0,2,1,0.4,0.2,532,80.1,35.46666666666667,0.8009999999999999,5,2,0.13333333333333333,7,2,0.4666666666666667,19,1.2666666666666666,18,1.2,20,1.3333333333333333,6,0.4,1.8,0.4666666666666667,0.44,2.0,15.87,4.0,transfermarkt,1
adam-masina-torino,Adam Masina,Torino,Serie A,MAR,ITA,DF,CB,30.0,1393,15.5,1,2,0.2,0.3,795,84.7,51.29032258064516,0.847,7,2,0.12903225806451613,3,1,0.1935483870967742,25,1.6129032258064515,18,1.1612903225806452,49,3.161290322580645,13,0.8387096774193549,3.935483870967742,0.6129032258064516,0.88,4.35,18.58,19.84,imputed,1
adam-smith-bournemouth,Adam Smith,Bournemouth,Premier League,ENG,ENG,DF,CB,33.0,1035,11.5,0,0,0.6,0.1,312,76.7,27.130434782608695,0.767,11,4,0.34782608695652173,1,0,0.08695652173913043,16,1.391304347826087,11,0.9565217391304348,8,0.6956521739130435,7,0.6086956521739131,10.0,0.391304347826087,0.71,10.3,11.83,4.18,imputed,0
aitor-paredes-athletic-club,Aitor Paredes,Athletic Club,La Liga,ESP,ESP,DF,CB,24.0,1024,11.4,2,0,1.3,0.0,474,84.2,41.578947368421055,0.8420000000000001,1,0,0.0,4,2,0.3508771929824561,8,0.7017543859649122,15,1.3157894736842104,21,1.8421052631578947,2,0.17543859649122806,0.6140350877192983,0.2850877192982456,0.18,0.7,10.09,21.21,imputed,0
